block,feature,n,rho,p,n_early,median_early,n_later,median_later,mwu_p,rho_drop_tail,p_drop_tail,narea_median,onoff_median,mannwhitney_p,span_start,span_end,n_hot,median_hot,n_std,median_std,median_early_ref
C1_pixels_vs_date,number_pixels_measured,65.0,-0.8,1.22e-15,,,,,,,,,,,,,,,,,
window_collapse_3V,on-off ratio,,,,10.0,2.437,42.0,1.213,0.0019,,,,,,,,,,,,
window_collapse_3V,normalized area,,,,10.0,0.235,42.0,0.027,0.0005,,,,,,,,,,,,
window_collapse_3V,percent change in max v current (%),,,,10.0,17.878,42.0,-2.086,0.0134,,,,,,,,,,,,
ohmic_drift_1p2V,current at max v (uA),64.0,0.447,0.0002,,,,,,0.55,0.0,,,,,,,,,,
ohmic_drift_1p2V,area (V*uA),64.0,0.572,0.0,,,,,,0.686,0.0,,,,,,,,,,
ohmic_drift_1p2V,current difference at on-off (uA),64.0,0.513,0.0,,,,,,0.631,0.0,,,,,,,,,,
health_flags,is broken,64.0,-0.399,0.0011,,,,,,,,,,,,,,,,,
health_flags,is saturated,64.0,0.268,0.0325,,,,,,,,,,,,,,,,,
resolution_matched3V,Hybrane,10.0,,,,,,,,,,0.264,2.447,,,,,,,,
resolution_matched3V,PEO,19.0,,,,,,,,,,0.416,4.907,,,,,,,,
resolution_matched3V,Hy_vs_PEO_MWU,,,,,,,,,,,,,0.0181,,,,,,,
resolution_temporal,Hybrane,64.0,,,,,,,,,,,1.35,,2021-03-04,2022-05-06,,,,,
resolution_temporal,PEO,46.0,,,,,,,,,,,2.61,,2022-01-26,2024-06-28,,,,,
mechanism_annealing_recovery,on-off @3V late,,,,,,,,0.0244,,,,,,,,6.0,1.95,44.0,1.22,1.74
