chem,electrode,n_hyst,onoff,normA,Vact,n_pulse,peak_ratio,growth_exp,n_decay_clean,t_half
PEO/Li/OTf,Ag,13,3.251,0.332,2.375,5,123.459,0.894,3,19.205
PEO/Li/OTf,Au,6,2.001,0.121,2.737,6,29.407,0.453,2,87.208
TMPE/Li/OTf,Ag,2,3.822,0.322,4.175,2,53.673,0.325,1,3.694
TMPE/Li/OTf,Au,12,1.29,0.066,3.612,4,1.853,0.171,0,
TMPE/Na/OTf,Ag,2,5.54,0.304,3.256,2,497.909,1.228,1,3.909
TMPE/Na/OTf,Au,2,1.47,0.108,6.388,0,,,0,
TMPE/K/OTf,Ag,2,7.006,0.406,3.1,2,237.534,1.189,1,5.194
TMPE/K/OTf,Au,2,1.43,0.063,5.863,0,,,0,
TMPE/Na/TFSI,Ag,2,1.761,0.1,2.375,2,25.089,0.461,0,
TMPE/Na/TFSI,Au,1,0.983,-0.006,0.45,0,,,0,
Hy/Li/OTf,Ag,70,1.407,0.059,1.61,1,25.244,0.39,0,
Hy/Li/OTf,Au,4,1.631,0.082,2.15,0,,,0,
none/Li/OTf,Ag,4,0.988,-0.002,1.07,0,,,0,
none/Li/OTf,Au,2,0.992,-0.002,1.762,2,0.986,,0,
TMPE/none/none,Ag,4,2.947,0.197,3.175,4,73.002,0.956,0,
TMPE/none/none,Au,1,0.418,-0.159,2.7,1,0.633,,0,
none/none/none,Au,6,1.028,0.006,1.294,2,2.75,0.251,0,
