cation,peo,salt,n_dev,onset_N_med,growth_exp_med,peak_ratio_med,N_peak_med,turnover_pct
K,0.3,0.09,1,10.0,0.861,103.19,300,100
Li,0.15,0.045,1,,0.064,1.41,100,100
Li,0.3,0.045,4,20.0,1.11,482.61,300,100
Li,0.3,0.09,9,100.0,0.748,101.61,1000,0
Li,0.3,0.18,2,1000.0,0.184,3.83,1000,0
Li,0.6,0.045,3,3.0,0.573,14.84,100,100
Li,0.6,0.09,3,3.0,0.826,202.25,300,100
Li,0.6,0.18,3,3.0,0.626,76.9,1000,0
Li,1.2,0.045,3,10.0,0.325,4.41,100,100
Li,1.2,0.09,2,16.5,0.49,42.63,1000,0
Li,1.2,0.18,3,30.0,0.368,8.01,1000,0
Na,0.3,0.09,1,300.0,0.273,10.03,1000,0
