device_id,pixel,cation,peo,salt,stratum,r1,r60,retention60,t_half_s,tau_s,beta,r2,identified,n
NM_v140,L4,Li,0.3,0.09,B_cation,54.34,15.24,0.28,18.55,17.21,0.543,0.9494,0,8
NM_v142,L4,Li,0.6,0.09,A_concentration,40.77,0.95,0.023,2.85,0.39,0.397,0.9992,0,8
NM_v143,L4,Li,0.6,0.18,A_concentration,37.48,1.3,0.035,4.33,2.77,0.589,0.9991,1,8
NM_v144,L4,Li,1.2,0.09,A_concentration,11.69,1.05,0.09,5.98,5.49,0.816,0.9983,1,8
NM_v145,L4,Li,1.2,0.18,A_concentration,4.33,1.02,0.236,11.24,10.03,0.854,0.9959,1,8
NM_v146,R3,Li,0.3,0.09,B_cation,12.25,3.63,0.296,21.97,22.92,0.821,0.9803,1,8
NM_v147,R3,Li,0.3,0.045,A_concentration,96.57,23.5,0.243,19.3,25.75,0.643,0.9889,1,8
NM_v151,R3,Li,0.15,0.18,A_concentration,4.21,1.14,0.27,22.43,15.51,0.777,1.0,0,5
NM_v152,R3,Li,0.6,0.09,A_concentration,28.39,1.4,0.049,3.5,0.06,0.255,0.9995,0,8
NM_v153,R3,Li,0.6,0.045,A_concentration,1.82,0.8,0.438,21.12,0.81,1.988,0.8972,0,8
NM_v155,R3,Li,1.2,0.09,A_concentration,7.0,0.97,0.139,4.13,0.24,0.32,0.9983,0,8
NM_v156,R3,Li,1.2,0.045,A_concentration,8.68,0.87,0.1,1.6,0.01,0.394,0.9748,0,8
NM_v157,R5,Li,1.2,0.18,A_concentration,7.65,1.0,0.13,6.59,6.08,0.873,0.9996,1,8
NM_v241,R6,Li,0.3,0.09,B_cation,33.82,8.26,0.244,19.2,24.83,0.833,0.9885,1,8
NM_v242,R6,Li,0.6,0.09,A_concentration,86.04,1.56,0.018,4.24,3.04,0.613,0.9997,1,8
NM_v243,R6,Li,1.2,0.09,A_concentration,49.24,1.28,0.026,6.8,8.33,1.34,0.9989,1,8
NM_v244,R6,Li,0.3,0.045,A_concentration,462.54,75.17,0.163,12.36,11.9,0.451,0.9927,1,8
NM_v245,R6,Li,0.6,0.18,A_concentration,51.22,1.75,0.034,6.75,6.51,0.637,0.9966,1,8
NM_v246,R6,Li,1.2,0.18,A_concentration,18.87,1.36,0.072,9.04,11.11,1.085,0.9992,1,8
NM_v248,R6,Na,0.3,0.09,B_cation,2.69,1.13,0.421,24.02,0.01,0.22,0.9375,0,6
NM_v249,L6,K,0.3,0.09,B_cation,72.1,16.02,0.222,8.04,0.01,0.147,0.9838,0,8
NM_v259,L4,Li,0.3,0.045,A_concentration,137.42,20.39,0.148,3.31,0.01,0.19,0.9725,0,8
NM_v260,L4,Li,0.3,0.045,A_concentration,116.61,41.9,0.359,36.72,48.54,0.738,0.9805,1,8
NM_v261,L5,Li,0.6,0.045,A_concentration,26.17,1.28,0.049,3.26,2.97,0.966,0.9961,1,8
NM_v262,L4,Li,0.6,0.045,A_concentration,10.85,0.69,0.064,2.27,0.01,0.256,0.9985,0,8
NM_v263,L4,Li,1.2,0.045,A_concentration,3.74,0.81,0.215,2.74,0.01,0.27,0.9974,0,8
NM_v264,L4,Li,1.2,0.045,A_concentration,6.7,0.86,0.129,2.86,0.01,0.245,0.999,0,8
