device_id,pixel,cation,peo,salt,stratum,onset_N,peak_ratio,N_peak,turnover,growth_exp,n
NM_v114,L3,Li,0.3,0.09,B_cation,64.0,176.39,1024.0,0,0.894,11
NM_v140,R4,Li,0.3,0.09,B_cation,30.0,123.46,300.0,1,0.913,7
NM_v142,R4,Li,0.6,0.09,A_concentration,3.0,76.43,300.0,1,0.722,7
NM_v143,R4,Li,0.6,0.18,A_concentration,3.0,76.9,1000.0,0,0.595,7
NM_v145,R4,Li,1.2,0.18,A_concentration,100.0,8.01,1000.0,0,0.368,7
NM_v146,R3,Li,0.3,0.09,B_cation,30.0,101.61,1000.0,0,0.824,7
NM_v147,R3,Li,0.3,0.045,A_concentration,30.0,454.22,1000.0,0,1.06,7
NM_v152,R3,Li,0.6,0.09,A_concentration,10.0,278.13,300.0,1,1.096,7
NM_v153,R3,Li,0.6,0.045,A_concentration,30.0,4.16,100.0,1,0.31,7
NM_v155,R3,Li,1.2,0.09,A_concentration,30.0,7.33,1000.0,0,0.383,7
NM_v156,R3,Li,1.2,0.045,A_concentration,30.0,5.99,1000.0,0,0.328,7
NM_v157,R5,Li,1.2,0.18,A_concentration,30.0,4.92,1000.0,0,0.319,7
NM_v241,R4,Li,0.3,0.09,B_cation,30.0,295.23,1000.0,0,0.896,7
NM_v242,R4,Li,0.6,0.09,A_concentration,1.0,202.25,300.0,1,0.826,7
NM_v243,R4,Li,1.2,0.09,A_concentration,3.0,77.94,1000.0,0,0.598,7
NM_v244,R4,Li,0.3,0.045,A_concentration,10.0,555.68,300.0,1,1.229,7
NM_v245,R4,Li,0.6,0.18,A_concentration,3.0,80.37,1000.0,0,0.626,7
NM_v246,R4,Li,1.2,0.18,A_concentration,10.0,50.68,1000.0,0,0.589,7
NM_v248,L5,Na,0.3,0.09,B_cation,300.0,10.03,1000.0,0,0.273,7
NM_v249,R6,K,0.3,0.09,B_cation,10.0,103.19,300.0,1,0.861,7
NM_v259,R4,Li,0.3,0.045,A_concentration,10.0,237.57,300.0,1,1.025,7
NM_v260,R5,Li,0.3,0.045,A_concentration,30.0,511.0,300.0,1,1.159,7
NM_v261,R4,Li,0.6,0.045,A_concentration,3.0,43.14,100.0,1,0.681,7
NM_v262,R4,Li,0.6,0.045,A_concentration,3.0,14.84,100.0,1,0.573,7
NM_v263,R4,Li,1.2,0.045,A_concentration,10.0,4.41,100.0,1,0.325,7
NM_v264,R4,Li,1.2,0.045,A_concentration,10.0,3.6,100.0,1,0.28,7
NM_v265,L6,Li,0.3,0.09,B_cation,100.0,76.23,1000.0,0,0.625,7
NM_v266,L6,Li,0.3,0.09,B_cation,1000.0,14.68,1000.0,0,0.273,7
NM_v268,R5,Li,0.3,0.09,B_cation,100.0,162.97,1000.0,0,0.748,7
NM_v269,R5,Li,0.3,0.09,B_cation,300.0,24.73,1000.0,0,0.401,7
NM_v270,L4,Li,0.3,0.09,B_cation,300.0,34.09,1000.0,0,0.506,7
